ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,LATITUDE,LONGITUDE,ShortSale
99900,2,0.75,994,5227,1911,103,2,Garage,20,N,Y,44.950985,-93.162804,N
274900,4,1.75,2647,3920,1886,128,3,Garage,137,N,N,44.975796,-93.16288,N
85000,2,1.25,1027,5227,1900,114,1,Garage,137,N,N,44.986034,-93.076515,Y
244999,4,2,1900,5227,1922,92,4,Garage,5,N,Y,44.985973,-93.155724,N
164900,3,1.75,1557,4791,1921,93,2,Garage,34,N,N,44.918743,-93.140533,N
375000,4,2.75,2163,4791,1947,67,1,Garage,70,Y,N,44.920898,-93.163429,N
169750,3,1.75,1600,6969,1949,65,1,Garage,39,N,N,44.986446,-93.130363,N
269900,3,1.75,2119,4791,1933,81,4,Garage,137,Y,N,44.986504,-93.164696,N
209900,3,1,1072,4791,1920,94,1,Garage,68,Y,N,44.979412,-93.163765,N
84900,2,1.75,1122,4356,1916,98,0,No,8,N,Y,44.994656,-93.307838,N
379900,4,2,2032,5227,1916,98,1,Garage,100,Y,N,44.93491,-93.163971,N
114900,3,1.5,1438,4791,1941,73,2,Garage,137,N,Y,44.994637,-93.306602,N
263525,5,3.25,2598,10890,2004,10,3,Garage,119,Y,N,44.895756,-93.006966,Y
84900,2,1.75,1131,3920,1904,110,2,Garage,12,N,N,44.956371,-93.164665,N
152900,4,1,1300,5227,1909,105,2,Garage,77,Y,N,44.987106,-93.126549,N
130000,3,1.5,1512,6098,2009,5,2,Garage,137,N,Y,44.994865,-93.299049,N
159000,4,1,1260,5227,1932,82,1,Garage,119,N,N,44.987,-93.127106,N
107900,4,2.5,2117,6098,1959,55,2,Garage,13,N,N,44.957073,-93.036064,N
159900,4,1.75,1778,8276,1958,56,2,Garage,57,Y,N,44.987377,-93.048584,N
244900,3,1.75,1816,4791,1931,83,1,Garage,8,N,N,44.987171,-93.163406,N
167900,3,1.75,1794,7840,1955,59,1,Garage,119,N,N,44.987526,-93.035851,N
40000,5,1,1694,5662,1922,92,1,Garage,15,Y,N,,,N
135000,3,1,1334,5662,1964,50,4,Garage,65,N,Y,44.987381,-93.086624,N
154900,2,1,1112,6098,1914,100,1,Garage,137,Y,N,44.976654,-93.165451,N
199900,2,1.75,1384,5227,1931,83,1,Garage,113,Y,N,44.987663,-93.153656,N
146900,3,1.75,2692,6534,1975,39,5,Garage,137,Y,Y,44.933338,-93.077408,N
159900,3,2.25,1651,5662,2013,1,2,Garage,106,Y,N,45.000957,-93.301086,N
224900,3,1.5,1625,5227,1934,80,2,Garage,74,N,N,44.988068,-93.16011,N
89000,3,1,1103,7840,1890,124,2,No,43,Y,N,44.978489,-93.166176,N
119900,1,1.75,851,3049,1918,96,1,Garage,21,N,N,44.979389,-93.166245,N
115000,3,1,888,6098,1955,59,2,Garage,14,N,N,44.988834,-93.048584,N
169900,4,2.5,1196,8276,1923,91,2,Garage,10,N,Y,44.988796,-93.043434,N
174900,3,1,1686,7405,1951,63,2,Garage,37,N,N,44.918892,-93.143372,N
120000,3,1,1140,7448,1974,40,1,Garage,64,N,N,44.956158,-93.033577,N
239741,4,2,1759,4791,2012,2,2,Garage,137,N,N,44.962073,-93.033416,N
165000,3,2,2085,6534,1960,54,3,Garage,6,N,N,44.982689,-93.033516,N
92000,4,2,1690,6969,1953,61,2,Garage,4,N,N,44.988647,-93.033539,Y
169900,3,1,1345,6098,1955,59,2,Garage,70,N,N,44.983604,-93.033318,N
125000,3,1.25,1512,,1912,102,2,Garage,16,N,N,44.917263,-93.14283,Y
139000,3,1,1272,4791,1966,48,1,Garage,5,N,N,44.96159,-93.033142,N
227900,4,0.75,1920,5227,1900,114,4,Garage,109,Y,N,45.004318,-93.258514,N
94900,5,2,1820,5227,1940,74,2,Garage,77,Y,Y,45.001781,-93.301086,N
209900,3,1,1401,5227,1927,87,1,Garage,68,N,N,44.98959,-93.155663,N
210000,4,2,1555,4356,1982,32,5,Garage,110,Y,N,45.004551,-93.267303,N
178000,3,1.5,1531,6098,1939,75,1,Garage,5,N,N,45.004459,-93.269226,N
224900,4,1.75,1680,6534,1953,61,5,Garage,42,N,N,45.004688,-93.238823,N
129900,4,1.25,1560,6098,1902,112,0,No,137,Y,N,44.951305,-93.064095,N
149000,3,1.75,1544,5662,1925,89,2,Garage,137,Y,N,45.004772,-93.242645,Y
464000,3,1.75,1944,6534,1901,113,2,Garage,8,N,N,44.9468,-93.303047,N
149900,3,1,1321,6969,1917,97,2,Garage,77,N,Y,44.964664,-93.03186,N
159900,3,2,1424,6098,1947,67,3,Garage,84,N,Y,44.990257,-93.075851,N
97000,3,1,1094,6098,1946,68,1,Garage,49,Y,Y,44.985012,-93.031723,N
159777,3,1.75,1526,6534,1955,59,2,Garage,57,N,Y,44.990505,-93.048576,N
164900,3,1.5,1581,7405,1963,51,1,Garage,2,N,N,44.953835,-93.031738,N
149990,4,1.75,1714,6098,1950,64,1,Garage,26,N,Y,44.96558,-93.031395,N
152500,5,1.5,1547,6098,1952,62,3,Garage,64,N,Y,44.959251,-93.031181,N
120000,2,1.25,1240,,1926,88,2,Garage,67,Y,Y,44.961586,-93.03125,N
44000,3,1,1311,5227,1900,114,0,No,3,N,Y,44.996456,-93.316833,N
99900,4,1.25,1008,4356,1940,74,1,Garage,13,N,N,44.990807,-93.071503,N
142800,4,1.75,1650,5227,1954,60,2,Garage,20,Y,Y,44.996414,-93.311142,N
99900,2,2.5,1126,5227,1880,134,6,Garage,137,Y,N,44.964684,-93.031075,N
139900,3,1,1220,4791,1941,73,1,Garage,85,N,Y,44.984737,-93.106796,N
182500,4,1.75,1778,6969,1908,106,5,Garage,85,Y,N,44.950935,-93.170158,N
169900,3,1,1453,4791,1939,75,2,Garage,137,Y,Y,44.958111,-93.170685,N
324900,3,1.75,2336,8712,1983,31,6,Garage,134,Y,N,44.991489,-93.05072,N
69000,2,1,832,6969,1926,88,1,Garage,70,Y,N,44.977245,-93.029968,N
69500,3,1,1014,,1929,85,2,Garage,6,N,N,44.968033,-93.0299,N
194900,2,1,1135,5227,1919,95,2,Garage,89,N,N,44.934013,-93.170959,N
189000,4,1.5,1460,10454,1898,116,5,Garage,77,Y,N,44.97057,-93.029678,N
35900,2,1,734,6534,1913,101,0,No,8,N,N,44.969002,-93.029694,N
299900,3,2,1400,5227,1924,90,2,Garage,9,N,N,44.924942,-93.171394,N
168797,3,1.75,1306,5227,1920,94,1,Garage,5,Y,Y,44.963371,-93.029305,N
175000,3,1.75,1150,10454,1968,46,2,Garage,2,N,Y,44.947945,-93.029167,N
179900,2,1,1344,4791,1937,77,3,Garage,103,Y,N,44.959538,-93.1716,N
289900,3,2,1635,5227,1921,93,1,Garage,2,N,N,44.931297,-93.171738,N
39900,2,1.75,1808,6098,1907,107,2,Garage,137,Y,N,44.966999,-93.028969,N
329900,3,1.5,1550,6534,1915,99,1,Garage,75,Y,N,44.933624,-93.171913,N
149900,4,1,1369,4791,1915,99,1,Garage,1,N,N,44.959923,-93.171761,N
84900,3,1.75,1133,8276,1915,99,1,Garage,57,Y,Y,,,Y
120000,3,1,1694,4791,1900,114,2,Garage,57,N,Y,44.974945,-93.10051,N
204900,4,1.5,2524,9147,1963,51,2,Garage,9,N,Y,44.956356,-93.035606,N
