,ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,ShortSale,SquaredBEDS,cubedBEDS,quadraBEDS,SquaredBATHS,cubedBATHS,quadraBATHS,SquaredSQFT,cubedSQFT,quadraSQFT,SquaredLotSize,cubedLotSize,quadraLotSize,SquaredYearBuilt,cubedYearBuilt,quadraYearBuilt,SquaredAge,cubedAge,quadraAge,SquaredParkingSpots,cubedParkingSpots,quadraParkingSpots,SquaredDOM,cubedDOM,quadraDOM
53,229900,3,1.5,1835,4791.0,1906,108,2,1,137,1,1,1,9,27,81,2.25,3.375,5.0625,3367225,6178857875,11338204200625,22953681.0,109971085671.0,526871471449761.0,3632836,6924185416,13197497402896,11664,1259712,136048896,4,8,16,18769,2571353,352275361
54,139900,4,1.75,1400,5227.0,1938,76,1,1,75,1,1,0,16,64,256,3.0625,5.359375,9.37890625,1960000,2744000000,3841600000000,27321529.0,142809632083.0,746465946897841.0,3755844,7278825672,14106364152336,5776,438976,33362176,1,1,1,5625,421875,31640625
55,123900,3,1.0,1148,10890.0,1888,126,2,1,112,1,0,0,9,27,81,1.0,1.0,1.0,1317904,1512953792,1736870953216,118592100.0,1291467969000.0,1.406408618241e+16,3564544,6729859072,12705973927936,15876,2000376,252047376,4,8,16,12544,1404928,157351936
56,152900,4,1.75,1904,3920.0,1922,92,1,1,7,0,0,0,16,64,256,3.0625,5.359375,9.37890625,3625216,6902411264,13142191046656,15366400.0,60236288000.0,236126248960000.0,3694084,7100029448,13646256599056,8464,778688,71639296,1,1,1,49,343,2401
57,129900,4,1.75,1424,5227.0,1948,66,1,1,110,0,1,0,16,64,256,3.0625,5.359375,9.37890625,2027776,2887553024,4111875506176,27321529.0,142809632083.0,746465946897841.0,3794704,7392083392,14399778447616,4356,287496,18974736,1,1,1,12100,1331000,146410000
58,62400,1,1.0,510,4791.0,1928,86,1,1,119,0,0,0,1,1,1,1.0,1.0,1.0,260100,132651000,67652010000,22953681.0,109971085671.0,526871471449761.0,3717184,7166730752,13817456889856,7396,636056,54700816,1,1,1,14161,1685159,200533921
59,124900,2,1.0,676,4791.0,1940,74,2,1,56,0,0,0,4,8,16,1.0,1.0,1.0,456976,308915776,208827064576,22953681.0,109971085671.0,526871471449761.0,3763600,7301384000,14164684960000,5476,405224,29986576,4,8,16,3136,175616,9834496
60,117000,2,1.0,1017,13285.0,1889,125,2,1,106,1,0,0,4,8,16,1.0,1.0,1.0,1034289,1051871913,1069753735521,176491225.0,2344685924125.0,3.1149152502000624e+16,3568321,6740558369,12732914759041,15625,1953125,244140625,4,8,16,11236,1191016,126247696
61,264900,3,1.75,2304,5227.0,1922,92,2,1,117,1,0,0,9,27,81,3.0625,5.359375,9.37890625,5308416,12230590464,28179280429056,27321529.0,142809632083.0,746465946897841.0,3694084,7100029448,13646256599056,8464,778688,71639296,4,8,16,13689,1601613,187388721
62,119900,2,1.0,1314,5662.0,1941,73,1,1,29,0,0,0,4,8,16,1.0,1.0,1.0,1726596,2268747144,2981133747216,32058244.0,181513777528.0,1027731008363536.0,3767481,7312680621,14193913085361,5329,389017,28398241,1,1,1,841,24389,707281
63,89900,5,1.75,1835,6534.0,1894,120,2,1,1,0,0,0,25,125,625,3.0625,5.359375,9.37890625,3367225,6178857875,11338204200625,42693156.0,278957081304.0,1822705569240336.0,3587236,6794224984,12868262119696,14400,1728000,207360000,4,8,16,1,1,1
64,675000,2,2.25,3130,6098.0,1925,89,3,1,107,0,1,0,4,8,16,5.0625,11.390625,25.62890625,9796900,30664297000,95979249610000,37185604.0,226757813192.0,1382769144844816.0,3705625,7133328125,13731656640625,7921,704969,62742241,9,27,81,11449,1225043,131079601
65,160000,3,1.75,1894,6534.0,1953,61,1,1,77,1,0,0,9,27,81,3.0625,5.359375,9.37890625,3587236,6794224984,12868262119696,42693156.0,278957081304.0,1822705569240336.0,3814209,7449150177,14548190295681,3721,226981,13845841,1,1,1,5929,456533,35153041
66,120000,3,1.25,1183,4791.0,1939,75,1,1,13,0,0,0,9,27,81,1.5625,1.953125,2.44140625,1399489,1655595487,1958569461121,22953681.0,109971085671.0,526871471449761.0,3759721,7290099019,14135501997841,5625,421875,31640625,1,1,1,169,2197,28561
68,139900,3,1.75,1201,4791.0,1917,97,2,1,119,1,0,0,9,27,81,3.0625,5.359375,9.37890625,1442401,1732323601,2080520644801,22953681.0,109971085671.0,526871471449761.0,3674889,7044762213,13504809162321,9409,912673,88529281,4,8,16,14161,1685159,200533921
69,129900,3,1.25,1600,6098.0,1941,73,0,0,36,0,1,0,9,27,81,1.5625,1.953125,2.44140625,2560000,4096000000,6553600000000,37185604.0,226757813192.0,1382769144844816.0,3767481,7312680621,14193913085361,5329,389017,28398241,0,0,0,1296,46656,1679616
70,179900,3,1.0,864,6098.0,1953,61,2,1,86,1,0,0,9,27,81,1.0,1.0,1.0,746496,644972544,557256278016,37185604.0,226757813192.0,1382769144844816.0,3814209,7449150177,14548190295681,3721,226981,13845841,4,8,16,7396,636056,54700816
71,375000,3,1.75,1980,9147.0,1990,24,2,1,137,1,0,0,9,27,81,3.0625,5.359375,9.37890625,3920400,7762392000,15369536160000,83667609.0,765307619523.0,7000268795776881.0,3960100,7880599000,15682392010000,576,13824,331776,4,8,16,18769,2571353,352275361
72,329900,3,2.75,2478,6098.0,1937,77,2,1,57,1,0,0,9,27,81,7.5625,20.796875,57.19140625,6140484,15216119352,37705543754256,37185604.0,226757813192.0,1382769144844816.0,3751969,7267563953,14077271376961,5929,456533,35153041,4,8,16,3249,185193,10556001
73,519900,3,2.5,2973,6098.0,1923,91,4,1,137,1,0,0,9,27,81,6.25,15.625,39.0625,8838729,26277541317,78123130335441,37185604.0,226757813192.0,1382769144844816.0,3697929,7111117467,13674678889041,8281,753571,68574961,16,64,256,18769,2571353,352275361
