,ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,ShortSale
339,249900,2,1.25,994,4791.0,1929,85,1,1,5,0,0,0
340,119500,2,1.0,1073,6969.0,1916,98,4,1,137,1,0,0
341,99900,2,1.75,1220,6534.0,1900,114,1,1,40,0,0,0
342,479000,4,1.75,2358,7405.0,1935,79,1,1,137,1,1,0
343,260000,3,1.5,1488,5227.0,1909,105,4,1,12,0,1,0
344,649900,5,3.25,3222,6098.0,1928,86,4,1,6,0,0,0
345,194500,3,1.75,1814,7405.0,1960,54,4,1,106,0,0,0
347,113900,2,1.75,1296,4791.0,1951,63,2,1,8,0,0,0
348,129000,4,2.25,1790,7405.0,1967,47,2,1,72,1,1,0
349,78980,2,1.0,1415,7405.0,1939,75,1,1,69,1,0,0
350,769000,5,3.25,3715,7405.0,1912,102,2,1,111,0,0,0
351,206000,2,1.0,1358,11761.0,1938,76,1,1,137,1,1,0
352,125000,3,1.5,1468,5227.0,1909,105,2,1,137,1,1,0
353,234900,3,2.0,1277,7405.0,1996,18,2,1,137,1,1,0
354,229900,4,2.0,1288,5227.0,1926,88,1,1,39,0,0,0
355,83900,3,1.0,1761,6534.0,1907,107,1,1,75,1,0,0
356,150000,4,2.0,1686,6969.0,1900,114,1,1,137,1,0,0
357,119900,2,1.0,732,4791.0,1914,100,1,1,85,1,1,0
358,69900,4,1.5,3000,3484.0,1892,122,2,1,76,0,1,0
359,279900,3,1.75,1355,5227.0,1915,99,2,1,119,1,1,0
360,2895000,6,5.75,7436,14374.0,1929,85,3,1,137,0,0,0
361,549900,4,1.75,1945,5227.0,1908,106,2,1,2,0,1,0
362,385000,5,3.25,2568,20908.0,1901,113,2,1,103,0,0,0
363,485000,5,1.75,3422,5662.0,1895,119,2,1,56,1,0,0
364,79000,2,1.25,1164,4791.0,1886,128,2,1,4,0,0,0
365,105000,4,2.0,1064,7840.0,1906,108,2,1,9,0,1,0
366,40000,3,1.0,1086,4356.0,1911,103,1,1,42,1,1,0
367,149900,4,2.0,1624,4356.0,1900,114,1,1,137,0,1,0
368,250000,3,1.0,1560,6534.0,1908,106,1,1,2,0,0,0
369,3750000,5,5.0,6500,39639.0,1958,56,3,1,137,0,0,0
370,995000,4,2.75,3119,7840.0,1927,87,2,1,77,0,0,0
371,160000,3,1.5,1878,6098.0,1994,20,1,1,2,0,0,0
372,119900,2,1.0,1369,6534.0,1905,109,2,1,6,0,1,0
373,239900,3,2.5,1694,4791.0,1907,107,2,1,14,0,0,0
374,1935000,5,3.0,5008,6534.0,1929,85,2,1,137,0,0,0
375,158000,2,1.0,1498,5227.0,1912,102,1,1,64,1,0,0
377,119900,2,1.5,671,5662.0,1946,68,1,1,42,1,0,0
378,1995000,3,2.75,5084,9147.0,1916,98,2,1,137,1,0,0
379,299000,3,1.75,1899,8712.0,1952,62,3,1,119,0,1,0
380,159990,3,1.5,1075,4356.0,1911,103,4,1,19,0,1,0
381,217500,3,1.75,1675,5227.0,1922,92,1,1,76,1,1,0
382,164900,2,1.0,1021,5227.0,1908,106,1,1,119,1,0,0
383,139900,3,1.0,1345,5662.0,1908,106,2,1,15,1,0,0
384,1995000,4,5.0,5866,7840.0,1908,106,4,1,137,0,0,0
385,214900,3,1.5,1344,6969.0,1925,89,2,1,34,1,1,0
386,189900,3,1.75,1747,6969.0,1906,108,2,1,5,0,1,0
387,159900,2,1.0,1082,5227.0,1946,68,1,1,137,1,0,0
389,935000,4,3.0,2630,4356.0,2013,1,2,1,119,0,1,0
390,159500,3,1.75,1248,4791.0,1926,88,2,1,72,1,0,0
391,169900,3,1.0,1580,4791.0,1955,59,2,1,57,0,1,0
392,848900,5,3.5,3602,6534.0,2013,1,2,1,137,0,0,0
393,229900,3,1.5,1410,5749.0,1946,68,1,1,7,0,1,0
394,135000,4,2.0,2992,4356.0,2004,10,2,1,34,0,1,0
395,139900,4,2.75,1721,4791.0,1903,111,1,1,98,1,0,1
396,475000,4,1.75,1925,5227.0,1924,90,1,1,6,0,1,0
397,159900,3,1.0,1086,5662.0,1900,114,1,1,5,0,1,1
398,63000,2,1.0,1374,5052.0,1925,89,2,1,96,1,0,0
399,239900,4,1.75,2216,5227.0,1923,91,2,1,26,0,1,0
400,794000,4,3.0,3091,5227.0,1900,114,2,1,33,0,0,0
401,134900,2,1.0,1082,4791.0,1903,111,2,1,18,0,1,0
402,19900,2,1.0,900,5227.0,1911,103,1,1,110,0,1,0
403,130000,2,1.5,2728,3484.0,1900,114,1,1,137,0,0,0
